Title,Ratings,Reviews,locations,Prices,place_offers,Images,Description,URL
[VR] 2BR High Skyline Ocean View @ Pattaya,4.67 ·,70 reviews,"Muang Pattaya, Chang Wat Chon Buri, Thailand","$110
 night","['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared outdoor pool - available all year, open 24 hours', 'Private hot tub', 'TV with standard cable', 'Elevator', 'Air conditioning']",N/A,{},https://www.airbnb.com/rooms/25986044?adults=1&category_tag=Tag%3A7769&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-09-18&check_out=2022-09-23&previous_page_section_name=1000&federated_search_id=4eb6df17-dd9c-4a7e-bb7e-6e0424747225
It's a BASE two-bedroom apartment,,,"Muang Pattaya, Chang Wat Chon Buri, Thailand",,"['Courtyard view', 'Sea view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Shared outdoor pool - available all year, open specific hours, infinity, rooftop', 'Elevator', 'Free washer – In unit', 'Window AC unit', 'Private patio or balcony']","['[VR] 2BR High Skyline Ocean View @ Pattayaoriginal@4c8a44ab-ced7-41ef-bd14-b0413462ab05.jpeg', '[VR] 2BR High Skyline Ocean View @ Pattayapictures@44695671-e125-4ad5-bf64-c79a82f0acc5.jpg', '[VR] 2BR High Skyline Ocean View @ Pattayapictures@cff0b08c-a8b7-492d-a8d8-31b5182f652f.jpg', '[VR] 2BR High Skyline Ocean View @ Pattayapictures@d0ac3a67-1c12-4692-93bd-5bab96d71313.jpg', '[VR] 2BR High Skyline Ocean View @ Pattayapictures@ee4c549d-1fd8-4992-a0ef-8c7a450984e3.jpg']",{},https://www.airbnb.com/rooms/54022691?adults=1&category_tag=Tag%3A7769&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-09-16&check_out=2022-09-21&previous_page_section_name=1000&federated_search_id=4eb6df17-dd9c-4a7e-bb7e-6e0424747225
Modern private villa with pool,4.81 ·,149 reviews,"Muang Pattaya, Chang Wat Chon Buri, Thailand","$123 
$111
 night","['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool', 'Pets allowed', 'TV with standard cable', 'Washer', 'Unavailable: Carbon monoxide alarm', 'Carbon monoxide alarm', 'Unavailable: Smoke alarm', 'Smoke alarm']","[""It's a BASE two-bedroom apartment77834174@aa08ea92_original.jpg"", ""It's a BASE two-bedroom apartment77863059@b95a7194_original.jpg"", ""It's a BASE two-bedroom apartment77832927@91bda874_original.jpg"", ""It's a BASE two-bedroom apartment77833885@23094066_original.jpg"", ""It's a BASE two-bedroom apartment77834854@83ca73c0_original.jpg""]",{'Villa Lena is a modern contemporary home with 3 bedroom and 3 bathroom perfectly located 5 minutes from the heart of Pattaya on Pratamnak hill and only 200 meters from the sea.': 'You can enjoy your beautiful private pool and bbq dine outside.'},https://www.airbnb.com/rooms/6239676?adults=1&category_tag=Tag%3A7769&children=0&infants=0&search_mode=flex_destinations_search&check_in=2023-08-01&check_out=2023-08-06&previous_page_section_name=1000&federated_search_id=4eb6df17-dd9c-4a7e-bb7e-6e0424747225
★ 5 Star Modern Condo in Downtown ★ Rooftop Pool,4.73 ·,174 reviews,"Muang Pattaya, Chang Wat Chon Buri, Thailand",,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'TV with standard cable', 'Elevator', 'Washer', 'Dryer', 'Air conditioning', 'Hair dryer']","['Modern private villa with poolpictures@72231b55-2048-479b-a1d6-fe5ec2c977ee.jpg', 'Modern private villa with poolpictures@affe6cf2-4bf3-4a02-81a6-21d4bf36fe35.jpg', 'Modern private villa with poolpictures@3f8f282d-35d4-47b8-a508-5cd217472a8c.jpg', 'Modern private villa with poolpictures@0e0717bc-8b4e-4fc6-bfc4-c7a4489254ce.jpg', 'Modern private villa with poolpictures@a6a69e2f-d04a-4f27-8013-ce54f5f1a255.jpg']","{'The new modern room has 1 living room, 1 bathroom, kitchen area and seaview terrace': ''}",https://www.airbnb.com/rooms/18570407?adults=1&category_tag=Tag%3A7769&children=0&infants=0&search_mode=flex_destinations_search&check_in=2023-02-09&check_out=2023-02-16&previous_page_section_name=1000&federated_search_id=4eb6df17-dd9c-4a7e-bb7e-6e0424747225
❀The BASE❀ Central Pattaya/vacation city view,4.59 ·,115 reviews,"Muang Pattaya, Chang Wat Chon Buri, Thailand","$24
 night","['Courtyard view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Shared outdoor pool - available all year, open specific hours, infinity, rooftop', 'TV', 'Elevator', 'Washer', 'Dryer', 'Window AC unit']","['★ 5 Star Modern Condo in Downtown ★ Rooftop Poolpictures@6fd58782-e04a-4226-bb8e-01c6622ba507.jpg', '★ 5 Star Modern Condo in Downtown ★ Rooftop Poolpictures@95be4dc6-c532-42d2-9531-24426d68e475.jpg', '★ 5 Star Modern Condo in Downtown ★ Rooftop Pooloriginal@8f32d93c-da47-4436-9572-e7ad8f7978fb.jpeg', '★ 5 Star Modern Condo in Downtown ★ Rooftop Pooloriginal@d8a65a53-310d-4284-bd07-298667ed2f94.jpeg', '★ 5 Star Modern Condo in Downtown ★ Rooftop Poolpictures@a5a8f3af-fe38-42f9-812b-ec397150e675.jpg']",{'Famous BASE apartment on hardcover lower floor': ''},https://www.airbnb.com/rooms/20607807?adults=1&category_tag=Tag%3A7769&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-09-16&check_out=2022-09-21&previous_page_section_name=1000&federated_search_id=4eb6df17-dd9c-4a7e-bb7e-6e0424747225
The base sea view rooftop infinity pool,4.82 ·,76 reviews,"Muang Pattaya, Chang Wat Chon Buri, Thailand","$30
 night","['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'TV', 'Elevator', 'Washer', 'Dryer', 'Air conditioning']",N/A,{},https://www.airbnb.com/rooms/25558996?adults=1&category_tag=Tag%3A7769&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-09-16&check_out=2022-09-21&previous_page_section_name=1000&federated_search_id=4eb6df17-dd9c-4a7e-bb7e-6e0424747225
12th Floor Positive Ocean View 2BR The base Central Pattaya,4.76 ·,70 reviews,"Muang Pattaya, จ.ชลบุรี, Thailand",,,"['The base sea view rooftop infinity poolpictures@4c6eca8c-e29c-44fd-a73b-73363618df3b.jpg', 'The base sea view rooftop infinity pooloriginal@f3c5251f-36e3-4785-b4ad-c2fa5dd4128d.jpeg', 'The base sea view rooftop infinity pooloriginal@62ad5c0a-279e-4ecd-82cd-1f80cef5b7b4.jpeg', 'The base sea view rooftop infinity poolpictures@441be1b3-73a8-4181-9295-152403ce57a9.jpg', 'The base sea view rooftop infinity poolpictures@1bee2d3d-5e85-4c9e-8343-d3b94d393f45.jpg']",{},https://www.airbnb.com/rooms/37092787?adults=1&category_tag=Tag%3A7769&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-10-01&check_out=2022-10-06&previous_page_section_name=1000&federated_search_id=4eb6df17-dd9c-4a7e-bb7e-6e0424747225
Sweet&Luxury 1BR in middle Huahin + PoolView Wifi,4.97 ·,37 reviews,"Tambon Hua Hin, Chang Wat Prachuap Khiri Khan, Thailand",,,"['12th Floor Positive Ocean View 2BR The base Central Pattayapictures@bdac8af3-547a-4755-aae3-cbb42d356079.jpg', '12th Floor Positive Ocean View 2BR The base Central Pattayapictures@00885213-fd6d-4f81-bcbc-c309047b3b58.jpg', '12th Floor Positive Ocean View 2BR The base Central Pattayapictures@b01a7644-2de3-4d02-80de-f22f2f838586.jpg', '12th Floor Positive Ocean View 2BR The base Central Pattayapictures@13dbe2a7-2795-4e12-ae6f-48cafa256efc.jpg', '12th Floor Positive Ocean View 2BR The base Central Pattayapictures@277039ec-c50f-446b-9776-b3e17b5d45b6.jpg']","{'Resort Condo Near Beach,THE BEST LOCATION IN THE HEART OF HUAHIN!!': ''}",https://www.airbnb.com/rooms/43677309?adults=1&category_tag=Tag%3A7769&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-10-08&check_out=2022-10-13&previous_page_section_name=1000&federated_search_id=4eb6df17-dd9c-4a7e-bb7e-6e0424747225
An oasis in a sweet spot @ La Casita,4.92 ·,24 reviews,"Chang Wat Phrachuap Khiri Kan, Thailand","$26 
$21
 night","['Public or shared beach access', 'Kitchen', 'Fast wifi – 212 Mbps', 'Dedicated workspace', 'Free residential garage on premises', 'Shared outdoor pool -', '40"" HDTV with standard cable', 'Elevator', 'Security cameras on property', 'Unavailable: Carbon monoxide alarm', 'Carbon monoxide alarm']","['Sweet&Luxury 1BR in middle Huahin + PoolView Wifipictures@976b7226-55bc-43cd-b9cd-0b81f5c20876.jpg', 'Sweet&Luxury 1BR in middle Huahin + PoolView Wifipictures@92146395-8921-46a3-99f5-ddcf8b3340ed.jpg', 'Sweet&Luxury 1BR in middle Huahin + PoolView Wifipictures@971d6aec-1b73-40d1-baa6-4417660fba09.jpg', 'Sweet&Luxury 1BR in middle Huahin + PoolView Wifipictures@d7866ee3-aacc-4b4a-8c06-1f31232b7922.jpg', 'Sweet&Luxury 1BR in middle Huahin + PoolView Wifipictures@53ce7d51-859d-499e-81d2-0b44f905de3e.jpg']",{},https://www.airbnb.com/rooms/40596566?adults=1&category_tag=Tag%3A7769&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-09-20&check_out=2022-09-25&previous_page_section_name=1000&federated_search_id=4eb6df17-dd9c-4a7e-bb7e-6e0424747225
Samed Lullaby - Room on the beach @Ao Noina,4.83 ·,23 reviews,"5/13 Phe เมือง, Rayong, Thailand","$49
 night","['Beach access – Beachfront', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Air conditioning', 'Shared patio or balcony', 'Private backyard – Not fully fenced', 'Unavailable: Carbon monoxide alarm', 'Carbon monoxide alarm', 'Unavailable: Smoke alarm', 'Smoke alarm']","['An oasis in a sweet spot @ La Casitapictures@cc555244-a143-4020-9f74-2c5801697ae0.jpg', 'An oasis in a sweet spot @ La Casitapictures@9d03a902-b3d0-4151-b15a-323b495defed.jpg', 'An oasis in a sweet spot @ La Casitapictures@d084ed4c-961b-4a3d-8c07-8f5a50930553.jpg', 'An oasis in a sweet spot @ La Casitapictures@5b46e70c-843a-4877-ac80-20a57236a9de.jpg', 'An oasis in a sweet spot @ La Casitapictures@c81c6b3a-3685-41b8-9d27-3dfcc0c8a826.jpg']",{'We are fabulous oceanfront property with matching marine theme inside of the bedrooms located on the northern side of Koh Samet National Park.': ''},https://www.airbnb.com/rooms/39009644?adults=1&category_tag=Tag%3A7769&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-09-15&check_out=2022-09-20&previous_page_section_name=1000&federated_search_id=4eb6df17-dd9c-4a7e-bb7e-6e0424747225
